 Country Name , Y1995 , Y1996 , Y1997 , Y1998 , Y1999 , Y2000 , Y2001 , Y2002 , Y2003 , Y2004 , Y2005 , Y2006 , Y2007 , Y2008 , Y2009 , Y2010 , Y2011 , Y2012 , Y2013 , Y2014 , Y2015 
 Afghanistan ," 17,099,541.00 "," 17,822,884.00 "," 18,381,605.00 "," 18,863,999.00 "," 19,403,676.00 "," 20,093,756.00 "," 20,966,463.00 "," 21,979,923.00 "," 23,064,851.00 "," 24,118,979.00 "," 25,070,798.00 "," 25,893,450.00 "," 26,616,792.00 "," 27,294,031.00 "," 28,004,331.00 "," 28,803,167.00 "," 29,708,599.00 "," 30,696,958.00 "," 31,731,688.00 "," 32,758,020.00 "," 33,736,494.00 "
 Albania ," 3,187,784.00 "," 3,168,033.00 "," 3,148,281.00 "," 3,128,530.00 "," 3,108,778.00 "," 3,089,027.00 "," 3,060,173.00 "," 3,051,010.00 "," 3,039,616.00 "," 3,026,939.00 "," 3,011,487.00 "," 2,992,547.00 "," 2,970,017.00 "," 2,947,314.00 "," 2,927,519.00 "," 2,913,021.00 "," 2,905,195.00 "," 2,900,401.00 "," 2,895,092.00 "," 2,889,104.00 "," 2,880,703.00 "
 Algeria ," 28,904,298.00 "," 29,411,415.00 "," 29,886,839.00 "," 30,335,732.00 "," 30,765,613.00 "," 31,183,660.00 "," 31,592,153.00 "," 31,995,046.00 "," 32,403,514.00 "," 32,831,096.00 "," 33,288,437.00 "," 33,777,915.00 "," 34,300,076.00 "," 34,860,715.00 "," 35,465,760.00 "," 36,117,637.00 "," 36,819,558.00 "," 37,565,847.00 "," 38,338,562.00 "," 39,113,313.00 "," 39,871,528.00 "
 American Samoa ," 52,868.00 "," 53,929.00 "," 54,941.00 "," 55,901.00 "," 56,770.00 "," 57,521.00 "," 58,175.00 "," 58,731.00 "," 59,117.00 "," 59,264.00 "," 59,118.00 "," 58,650.00 "," 57,903.00 "," 57,030.00 "," 56,227.00 "," 55,637.00 "," 55,320.00 "," 55,230.00 "," 55,307.00 "," 55,437.00 "," 55,537.00 "
 Andorra ," 63,850.00 "," 64,360.00 "," 64,327.00 "," 64,142.00 "," 64,370.00 "," 65,390.00 "," 67,341.00 "," 70,049.00 "," 73,182.00 "," 76,244.00 "," 78,867.00 "," 80,991.00 "," 82,683.00 "," 83,861.00 "," 84,462.00 "," 84,449.00 "," 83,751.00 "," 82,431.00 "," 80,788.00 "," 79,223.00 "," 78,014.00 "
 Angola ," 14,268,994.00 "," 14,682,284.00 "," 15,088,981.00 "," 15,504,318.00 "," 15,949,766.00 "," 16,440,924.00 "," 16,983,266.00 "," 17,572,649.00 "," 18,203,369.00 "," 18,865,716.00 "," 19,552,542.00 "," 20,262,399.00 "," 20,997,687.00 "," 21,759,420.00 "," 22,549,547.00 "," 23,369,131.00 "," 24,218,565.00 "," 25,096,150.00 "," 25,998,340.00 "," 26,920,466.00 "," 27,859,305.00 "
 Antigua and Barbuda ," 73,619.00 "," 75,628.00 "," 77,739.00 "," 79,851.00 "," 81,831.00 "," 83,584.00 "," 85,057.00 "," 86,266.00 "," 87,293.00 "," 88,257.00 "," 89,253.00 "," 90,301.00 "," 91,381.00 "," 92,478.00 "," 93,581.00 "," 94,661.00 "," 95,719.00 "," 96,777.00 "," 97,824.00 "," 98,875.00 "," 99,923.00 "
 Argentina ," 34,994,814.00 "," 35,419,682.00 "," 35,833,969.00 "," 36,241,590.00 "," 36,648,068.00 "," 37,057,452.00 "," 37,471,509.00 "," 37,889,370.00 "," 38,309,379.00 "," 38,728,696.00 "," 39,145,488.00 "," 39,558,890.00 "," 39,970,224.00 "," 40,382,389.00 "," 40,799,407.00 "," 41,223,889.00 "," 41,656,879.00 "," 42,096,739.00 "," 42,539,925.00 "," 42,981,515.00 "," 43,417,765.00 "
 Armenia ," 3,217,342.00 "," 3,168,215.00 "," 3,133,086.00 "," 3,108,684.00 "," 3,089,017.00 "," 3,069,588.00 "," 3,050,655.00 "," 3,033,897.00 "," 3,017,806.00 "," 3,000,612.00 "," 2,981,259.00 "," 2,958,500.00 "," 2,933,056.00 "," 2,908,220.00 "," 2,888,584.00 "," 2,877,311.00 "," 2,875,581.00 "," 2,881,922.00 "," 2,893,509.00 "," 2,906,220.00 "," 2,916,950.00 "
 Aruba ," 80,324.00 "," 83,200.00 "," 85,451.00 "," 87,277.00 "," 89,005.00 "," 90,853.00 "," 92,898.00 "," 94,992.00 "," 97,017.00 "," 98,737.00 "," 100,031.00 "," 100,832.00 "," 101,220.00 "," 101,353.00 "," 101,453.00 "," 101,669.00 "," 102,053.00 "," 102,577.00 "," 103,187.00 "," 103,795.00 "," 104,341.00 "
